# Full Milky Way globular cluster catalog from Baumgardt & Vasiliev.
# Downloaded by scripts/fetch-full-catalog.py.
# name, RA(deg), Dec(deg), distance(kpc), pmRA*(mas/yr), pmDec(mas/yr), RV(km/s), mass(M_sun), tidal_radius(pc)
NGC 6287,256.288904,-22.708005,7.93,-4.991,-1.886,-294.74,1.300e+05,22.6
Patchick 126,256.410833,-47.342222,8.00,-4.859,-6.832,-122.14,5.390e+03,12.9
NGC 6293,257.542500,-26.582083,9.19,0.865,-4.330,-143.66,1.420e+05,24.2
Gran 2,257.890000,-24.849000,15.84,0.227,-2.568,53.22,4.200e+04,55.3
NGC 6304,258.634399,-29.462028,6.15,-4.073,-1.089,-108.62,1.030e+05,27.3
NGC 6316,259.155417,-28.140111,11.15,-4.974,-4.605,99.65,3.470e+05,47.5
NGC 6341,259.280762,43.135944,8.50,-4.934,-0.630,-120.55,2.730e+05,113.0
NGC 6325,259.496327,-23.767677,7.53,-8.288,-8.987,29.54,6.190e+04,20.4
NGC 6333,259.799086,-18.516257,8.30,-2.179,-3.213,310.75,3.080e+05,33.3
NGC 6342,260.291573,-19.587659,8.01,-2.915,-7.106,115.75,3.770e+04,15.0
NGC 6356,260.895804,-17.813027,15.66,-3.769,-3.410,48.18,5.650e+05,118.2
NGC 6355,260.993533,-26.352827,8.65,-4.732,-0.558,-195.85,9.910e+04,14.6
NGC 6352,261.371277,-48.422169,5.54,-2.169,-4.430,-125.63,6.020e+04,31.5
IC 1257,261.785431,-7.093056,26.59,-1.029,-1.490,-137.97,1.770e+04,59.8
Ter 2,261.887917,-30.802333,7.75,-2.142,-6.255,133.46,8.050e+04,12.4
NGC 6366,261.934357,-5.079861,3.44,-0.342,-5.155,-120.65,4.660e+04,37.9
Ter 4,262.662506,-31.595528,7.59,-5.364,-3.674,-48.96,1.810e+05,15.7
HP 1,262.771667,-29.981667,7.00,2.500,-10.049,39.76,1.370e+05,18.6
FSR 1758,262.800000,-39.808000,11.09,-2.875,2.509,227.31,4.910e+05,110.0
NGC 6362,262.979096,-67.048332,7.65,-5.502,-4.761,-14.58,1.170e+05,50.5
Liller 1,263.352333,-33.389556,8.06,-5.183,-6.979,60.36,1.010e+06,38.9
NGC 6380,263.618611,-39.069530,9.61,-2.186,-3.256,-1.48,3.410e+05,40.2
Ter 1,263.946667,-30.481778,5.67,-2.886,-4.870,57.55,1.990e+05,38.2
Ton 2,264.042000,-38.556100,6.99,-5.936,-0.795,-184.72,4.310e+04,21.6
NGC 6388,264.071777,-44.735500,11.17,-1.317,-2.715,83.11,1.310e+06,96.8
NGC 6402,264.400651,-3.245916,9.14,-3.599,-5.055,-60.71,5.950e+05,74.0
NGC 6401,264.652191,-23.909605,7.44,-2.762,1.464,-105.44,1.210e+05,15.8
NGC 6397,265.175385,-53.674335,2.48,3.251,-17.649,18.51,8.240e+04,49.6
Pal 6,265.925812,-26.224995,7.05,-9.190,-5.283,177.00,8.560e+04,10.4
NGC 6426,266.227960,3.170142,20.71,-1.821,-2.998,-210.51,7.310e+04,88.7
Djor 1,266.869583,-33.066389,9.88,-4.725,-8.470,-359.18,8.430e+04,25.4
Ter 5,267.020200,-24.779055,6.62,-1.864,-5.108,-81.97,1.090e+06,51.3
NGC 6440,267.220167,-20.360417,8.25,-1.189,-4.004,-69.39,5.690e+05,33.9
Gran 5,267.228000,-24.170000,4.91,-5.353,-9.312,-58.87,2.290e+04,21.5
NGC 6441,267.554413,-37.051445,12.73,-2.566,-5.373,18.47,1.390e+06,108.3
Ter 6,267.693250,-31.275389,7.27,-4.993,-7.458,137.15,1.000e+05,13.9
NGC 6453,267.715508,-34.598477,10.07,0.165,-5.920,-99.23,1.680e+05,32.9
UKS 1,268.613312,-24.145277,15.58,-0.960,-2.941,59.38,7.990e+04,48.0
VVV-CL001,268.677083,-24.014722,8.08,-3.394,-1.710,-327.28,1.540e+05,36.4
Gran 1,269.651000,-32.020000,8.27,-8.044,-8.049,78.94,2.610e+04,19.1
NGC 6496,269.765350,-44.265945,9.64,-3.066,-9.257,-134.72,7.440e+04,29.1
Ter 9,270.411667,-26.839722,5.77,-2.168,-7.698,68.56,1.370e+05,31.6
Djor 2,270.454378,-27.825819,8.76,0.720,-3.003,-149.75,1.340e+05,15.4
NGC 6517,270.460750,-8.958778,9.23,-1.554,-4.452,-35.06,2.160e+05,47.4
Ter 10,270.740833,-26.066944,10.21,-6.806,-2.595,211.37,3.190e+05,41.5
NGC 6522,270.891958,-30.033974,7.29,2.586,-6.432,-15.23,2.140e+05,15.4
NGC 6535,270.960449,-0.297639,6.36,-4.213,-2.935,-214.85,1.980e+04,24.7
NGC 6528,271.206697,-30.055778,7.83,-2.173,-5.643,211.86,9.440e+04,11.0
NGC 6539,271.207276,-7.585858,8.16,-6.883,-3.549,35.19,2.150e+05,44.9
NGC 6540,271.535657,-27.765286,5.91,-3.695,-2.818,-16.50,5.620e+04,22.7
VVV-CL160,271.737500,-20.011111,6.80,-2.025,-16.766,245.28,5.280e+04,19.5
NGC 6544,271.833833,-24.998222,2.58,-2.269,-18.615,-38.46,8.150e+04,47.8
NGC 6541,272.009827,-43.714889,7.61,0.283,-8.832,-163.97,2.570e+05,37.4
2MASS-GC01,272.090851,-19.829723,3.37,-1.366,-1.754,-35.58,4.110e+04,30.4
ESO 280-SC06,272.275000,-46.423333,20.95,-0.695,-2.776,93.20,4.010e+04,76.0
NGC 6553,272.322992,-25.908067,5.33,0.354,-0.427,-0.27,2.290e+05,47.8
2MASS-GC02,272.402100,-20.778889,5.50,-2.924,-3.776,-87.50,1.560e+04,15.7
NGC 6558,272.573974,-31.764508,7.79,-1.752,-4.167,-195.12,3.130e+04,8.9
IC 1276,272.684441,-7.207595,4.55,-2.555,-4.586,155.06,7.430e+04,37.8
Ter 12,273.065833,-22.741944,5.17,-6.234,-3.063,94.01,3.760e+04,24.9
NGC 6569,273.411667,-31.826889,10.53,-4.142,-7.333,-49.83,2.290e+05,42.9
BH 261,273.527500,-28.635000,6.12,3.589,-3.570,-60.00,2.380e+04,20.6
NGC 6584,274.656647,-52.215778,13.61,-0.080,-7.195,260.64,1.150e+05,59.5
NGC 6624,275.918793,-30.361029,8.02,0.127,-6.956,54.79,1.030e+05,16.8
NGC 6626,276.137039,-24.869847,5.37,-0.303,-8.931,11.11,2.700e+05,47.4
NGC 6638,277.733734,-25.497473,9.78,-2.515,-4.069,8.63,1.240e+05,29.1
NGC 6637,277.846252,-32.348084,8.90,-5.053,-5.825,47.48,1.380e+05,24.2
NGC 6642,277.975957,-23.475602,8.05,-0.175,-3.900,-60.61,3.950e+04,16.2
NGC 6652,278.940125,-32.990723,9.46,-5.496,-4.250,-95.37,4.090e+04,17.7
NGC 6656,279.099762,-23.904749,3.30,9.841,-5.607,-148.72,4.700e+05,76.8
Pal 8,280.377290,-19.828858,11.32,-1.999,-5.633,-39.68,7.130e+04,37.0
NGC 6681,280.803162,-32.292110,9.36,1.420,-4.730,216.62,1.050e+05,27.5
NGC 6712,283.268021,-8.705960,7.38,3.355,-4.440,-107.45,9.500e+04,33.2
NGC 6715,283.763855,-30.479862,26.28,-2.682,-1.374,143.13,1.590e+06,279.1
NGC 6717,283.775177,-22.701473,7.52,-3.153,-5.008,30.25,2.630e+04,17.8
NGC 6723,284.888123,-36.632248,8.27,1.018,-2.410,-94.39,1.970e+05,38.5
NGC 6749,286.314056,1.899756,7.59,-2.872,-5.981,-58.44,2.050e+05,63.0
NGC 6752,287.717102,-59.984554,4.12,-3.160,-4.024,-26.01,2.610e+05,66.4
NGC 6760,287.800268,1.030466,8.41,-1.093,-3.632,-2.37,2.860e+05,73.4
NGC 6779,289.148193,30.183472,10.43,-2.003,1.617,-136.97,1.660e+05,92.2
Ter 7,289.432983,-34.657722,24.28,-2.990,-1.659,159.45,2.230e+04,62.0
Pal 10,289.508728,18.571667,8.94,-4.326,-7.173,-31.70,1.250e+05,63.4
Arp 2,292.183807,-30.355639,28.73,-2.317,-1.487,122.64,3.870e+04,87.0
NGC 6809,294.998779,-30.964750,5.35,-3.435,-9.296,174.70,1.970e+05,52.0
Ter 8,295.435028,-33.999474,27.54,-2.499,-1.580,148.53,7.590e+04,108.2
Pal 11,296.310000,-8.007222,14.02,-1.741,-4.973,-67.64,1.420e+04,32.8
Sagittarius II,298.164708,-22.065251,66.53,-0.807,-0.897,-175.73,3.050e+04,384.1
NGC 6838,298.443726,18.779194,4.00,-3.412,-2.662,-22.72,3.780e+04,41.0
NGC 6864,301.519784,-21.921164,20.52,-0.614,-2.796,-189.08,4.590e+05,156.0
NGC 6934,308.547394,7.404472,15.72,-2.658,-4.691,-406.22,1.500e+05,89.2
NGC 6981,313.365417,-12.537306,16.66,-1.261,-3.369,-331.39,8.120e+04,54.0
NGC 7006,315.372626,16.187323,39.32,-0.115,-0.619,-383.47,1.320e+05,168.6
Laevens 3,316.726700,14.980500,61.77,0.242,-0.748,-70.30,2.680e+03,52.0
NGC 7078,322.493042,12.167001,10.71,-0.648,-3.801,-106.84,5.180e+05,132.1
NGC 7089,323.362579,-0.823250,11.69,3.445,-2.177,-3.78,6.240e+05,110.8
NGC 7099,325.092133,-23.179861,8.46,-0.732,-7.307,-185.19,1.210e+05,71.2
Pal 12,326.661804,-21.252611,18.49,-3.225,-3.320,27.91,6.190e+03,64.0
Pal 13,346.685190,12.771539,23.48,1.740,0.116,25.30,2.780e+03,37.6
NGC 7492,347.111170,-15.611469,24.39,0.777,-2.321,-176.70,1.970e+04,85.7
